"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C2H59Y2G","book","1857","Griswold, Rufus W.","The prose writers of America: with a survey of the intellectual history, condition, and prospects of the country","","","","","","","1857","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The prose writers of America","","","","","Parry and Macmillan","Philadelphia","eng","","","","","onesearch.wesleyan.edu","PS645 .G75 1856b","","","","","","American prose literature; Authors, American","","","","","","","","","","","","","","","","","","","","4th ed. rev.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SV4J5W79","book","1853","Thomas","Christmas blossoms, and New-Year's wreath","","","","","","","1853","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","E.H. Butler & Co.","Philadelphia","eng","","","","","onesearch.wesleyan.edu","AY11 .C47 1853","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2THYJFE","book","1872","Gage, William Leonard","The home of God's people","","","","","","","1872","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","Worthington, Dustin","Hartford, Conn","eng","","","","","onesearch.wesleyan.edu","DS118 .G2 1872","","","","","","Bible; Description and travel; History of Biblical events; Middle East; Palestine; Travel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTGNLC9U","book","1855","Headley, J. T.; Headley, J. T.","The Keepsake.","","","","","","","1855","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","Leavitt and Allen","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .K3 1855","","","","","","Gift books; Headley, J. T., 1813-1897; Headley, J. T., 1813-1897 editor","","","","Headley, J. T.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIVVN7TU","book","1790","Cochin, Charles Nicolas; Fénelon, François de Salignac de La Mothe-; Cochin, Charles Nicolas; Moreau, Jean Michel","Les aventures de Télémaque, fils d'Ulysse.","","","","","","","1790","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","De l'imprimerie de Monsieur","Paris","fre","","","","","onesearch.wesleyan.edu","PQ1795 .T5 1790 T.2","ISSN: 0703-2226","","","","","Education of princes; Fiction; Greece; Princes; Telemachus (Mythological character)","","","","Cochin, Charles Nicolas; Moreau, Jean Michel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7283X2FL","book","1839","Goldsmith, Oliver; Daniel T Mitchell Goldsmith Collection","Poems and essays","","","","","","","1839","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","William Smith, Fleet Street","London","eng","","","","","onesearch.wesleyan.edu","PR3482 .S65 1839","","","","","","Essays; Poems","","","","Daniel T Mitchell Goldsmith Collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL6X7D63","book","1895","Rosengarten, A.","A handbook of architectural styles","","","","","","","1895","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","C. Scribner's Sons","New York","eng","","","","","onesearch.wesleyan.edu","NA200 .R613 1895","","","","","","Architecture; History","","","","","","","","","","","","","","","","","","","","A new ed. with 639 illustrations.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6MGQAMU","book","1854","","The gift of friendship: a token of remembrance, for 1855.","","","","","","","1854","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The gift of friendship","","","","","Henry F. Anners","Philadelphia","eng","","","","","onesearch.wesleyan.edu","AY11 .G53 1855","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CTNBY6U","book","1844","Watts, Isaac; Mason, Lowell; Greene, David","Church psalmody: a collection of psalms and hymns, adapted to public worship : selected from Watts and other authors.","","","","","","","1844","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","Church psalmody","","","","","T.R. Marvin","Boston","eng","","","","","onesearch.wesleyan.edu","BV459 .M3 1844","","","","","","Hymns, English; Inscriptions (Provenance)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6G25YVT","book","1838","Goodrich, Samuel G.; Holmes, Oliver Wendell; Hawthorne, Nathaniel; Goodrich, Samuel G.","The token and Atlantic souvenir, a Christmas and new year's present.","","","","","","","1838","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","American Stationers' Co.","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .T628 1837","","","","","","1838; Gift books; Gilt edges (Binding); Intaglio prints; Leather bindings (Binding)","","","","Goodrich, Samuel G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WDDNSBU","book","1848","","The gift of friendship: a token of remembrance for 1848. Dew drops of the nineteenth century","","","","","","","1848","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The gift of friendship","","","","","J. Levison","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .G53 1848","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBW6SNRD","book","1899","Goldsmith, Oliver","The vicar of Wakefield: a tale","","","","","","","1899","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The vicar of Wakefield","","","","","F.A. Stokes","New York","eng","","","","","onesearch.wesleyan.edu","PR3490 .A1 1899b","","","","","","Abduction; Children of clergy; Clergy; England; Fiction; Poor families; Prisoners","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRLGPBAM","book","1825","American Sunday-School Union Committee of Publication","The history of Joe Bennett: and his friend Thomas","","","","","","","1825","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The history of Joe Bennett","[The Child's home library","28","","","American Sunday School Union","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.28","","","","","","Children's stories, American; Christian literature for children; Sunday school literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J8Z2DD5U","book","1852","American Sunday-School Union; American Sunday-School Union Committee of Publication","The broken bough","","","","","","","1852","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","American Sunday-School Union","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.18","","","","","","1852; Children's stories; Christian life; Fiction; Juvenile fiction; Juvenile works","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPI6HDHX","book","183","American Sunday-School Union","The Young Sabbath-breakers","","","","","","","0183","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","[The Child's home library","25","","","American Sunday-School Union","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.25","","","","","","Children's literature, American; Christian literature for children; Sunday school literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF7WPHWB","book","1827","Selfridge, Thomas Oliver; Johnson, Lawrence; American Sunday-School Union Committee of Publication; American Sunday-School Union","The tulip, or, Selina's favourite","","","","","","","1827","2024-10-29 15:22:36","2024-10-29 15:22:36","","","32","","","","","","III series ; no. 119","","","","American Sunday School Union, no. 148 Chesnut Street","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.42","","","","","","1827; Children's sermons; Conduct of life; Conversion; Fiction; Juvenile fiction; Juvenile literature; Juvenile works; Pennsylvania; Philadelphia; Sunday school literature","","","","Johnson, Lawrence; American Sunday-School Union Committee of Publication; American Sunday-School Union","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7IPPHWF","book","1827","Gilbert, George; Gilbert, George; American Sunday-School Union","The Wonderful lamp.","","","","","","","1827","2024-10-29 15:22:36","2024-10-29 15:22:36","","","16","","","","","","Fourth series (American Sunday-School Union) ; no. 446","","","","American Sunday-School Union, no. 146 Chestnut Street.","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.15","","","","","","1846; Children's stories; Juvenile literature; Sunday school literature","","","","Gilbert, George; American Sunday-School Union","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"784SUQGP","book","183","American Sunday-School Union","Milk for babes, or, A catechism in verse","","","","","","","0183","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","[The Child's home library","29","","","American Sunday-School Union","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.29","","","","","","Catechisms; Christian literature for children; Sunday school literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5PRI5ZH","book","1852","Baskin Collection of Victorian bindings","Album.","","","","","","","1852","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","publisher not identified","Place of publication not identified","eng","","","","","onesearch.wesleyan.edu","AY11 .A42 1850z","","","","","","Albums; Autograph albums; Fine bindings; Specimens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S5BHUE9","book","1860","","The Gem of the season. with ten fine illustrations.","","","","","","","1860","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Leavitt & Allen","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .G34 1859","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL3WIAZ6","book","1841","Baskin Collection of Victorian Bindings","Floral album.","","","","","","","1841","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","publisher not identified","Place of publication not identified","eng","","","","","onesearch.wesleyan.edu","AY11 .F43 1800z","","","","","","Albums; Autograph albums; Fine bindings; Specimens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TPMA3PB","book","1835","Baskin Collection of Victorian Bindings","Album.","","","","","","","1835","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","publisher not identified","Place of publication not identified","eng","","","","","onesearch.wesleyan.edu","AY11 .A45 1830z","","","","","","Albums; Autograph albums; Fine bindings; Specimens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6T3WCJD","book","1827","American Sunday-School Union; American Sunday-School Union; American Sunday-School Union Committee of Publication","Something for a Sunday-school child to think about","","","","","","","1827","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","Child's cabinet library","48","","","American Sunday-School Union, no. 146 Chestnut Street","Philadelphia","eng","","","","","onesearch.wesleyan.edu","BV4571 .A1 no.48","","","","","","1827-1853; Christian literature for children; Juvenile literature; Juvenile works; Pennsylvania; Philadelphia; Sunday school literature; Sunday schools","","","","American Sunday-School Union; American Sunday-School Union Committee of Publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME6R5P9B","book","1846","Dick, Archibald L.; Dick, Archibald L.; Baskin Collection of Victorian Bindings","Album.","","","","","","","1846","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","J.K. Riker","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .A454 1840z","","","","","","1800-1899; 19th century; Albums; Autograph albums; Engraving, American; Fine bindings; Specimens","","","","Dick, Archibald L.; Baskin Collection of Victorian Bindings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3K79Q2KW","book","1845","Riker, John C.; Morin, A. C.; Topham, Francis William; Bostock, John; Bartlett, W. H.; Corbould, Edward Henry; Perring, William; Jenkins, Joseph John; Dick, Archibald L.; Riker, John C.; Morin, A. C.; Topham, Francis William; Bostock, John; Bartlett, W. H.; Corbould, Edward Henry; Perring, William; Jenkins, Joseph John; Dick, Archibald L.","Album.","","","","","","","1845","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Published by J.C. Riker Fulton Street.","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .A42","","","","","","1800-1899; 19th century; Albums; Autograph albums; Engraving; Gilt edges (Binding); Initials (Provenance); Intaglio prints; Leather bindings (Binding); Presentation inscriptions (Provenance); Signed bindings (Binding); Specimens; United States","","","","Riker, John C.; Morin, A. C.; Topham, Francis William; Bostock, John; Bartlett, W. H.; Corbould, Edward Henry; Perring, William; Jenkins, Joseph John; Dick, Archibald L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMT84EGA","book","1827","Campbell, Thomas","The poetical works of Thomas Campbell: including Theodric ; and many other pieces not contained in any former edition.","","","","","","","1827","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","The poetical works of Thomas Campbell","","","","","J. Crissy, and J. Grigg","Philadelphia","eng","","","","","onesearch.wesleyan.edu","PR4410 .A2 1827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BV3PEAUB","book","1854","Percival, Emily; Percival, Emily","The amaranth; or token of remembrance.","","","","","","","1854","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Phillips & Sampson","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .A5 1854","ISSN: 0484-7369","","","","","1854; Gift books","","","","Percival, Emily","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EB6X7TX5","book","1839","Lawrence, Thomas; Watt, William Henry; Campbell, Thomas; Lawrence, Thomas; Watt, William Henry; West, Benjamin; Bradbury & Evans; Edward Moxon & Co; National Art Library (Great Britain) Benjamin West bindings collection","The poetical works of Thomas Campbell.","","","","","","","1839","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Edward Moxon","London","eng","","","","","onesearch.wesleyan.edu","PR4410 .A2 1839","","","","","","Engraved frontispieces (illustrations); Gilt edges (gathered matter components); Goatskin bindings; Gold-blocked bindings; Ownership inscriptions; panel stamp bindings; Poems; trade bindings","","","","Lawrence, Thomas; Watt, William Henry; West, Benjamin; Bradbury & Evans; Edward Moxon & Co; National Art Library (Great Britain) Benjamin West bindings collection","","","","","","","","","","","","","","","","A new ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYNFPBEF","book","1863","American Tract Society","Views from nature.","","","","","","Contains fiction, non-fiction and poetry on a wide variety of subjects.","1863","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","American Tract Society","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .V5 1863","","","","","","Children's literature, American; Children's poetry; Children's stories; Fiction; Juvenile works; Poetry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAZ9DJQI","book","1842","Sumner, John Bird","The evidence of Christianity: derived from its nature and reception","","","","","","","1842","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","The evidence of Christianity","","","","","John Hatchard & Son","London","eng","","","","","onesearch.wesleyan.edu","BT1101 .S9 1842","","","","","","19th century; Apologetics; Blind tooled bindings (Binding); England; London; Publishers' cloth bindings (Binding)","","","","","","","","","","","","","","","","","","","","7th ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GW62TUZD","book","1845","Ostervald, Jean Frédéric; Ostervald, Jean Frédéric","La Sainte Bible; ou, l'Ancien et le Nouveau Testament","","","","","","","1845","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Société biblique française et étrangère","Paris","fre","","","","","onesearch.wesleyan.edu","BS230 1845","","","","","","","","","","Ostervald, Jean Frédéric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FRTPCP9","book","1849","","The Casket, a gift book for all seasons.","","","","","","","1849","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Phillips, Sampson","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .C27 1849","ISSN: 2960-6950","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSMHFZV7","book","1850","Percival, Emily","The garland ; or, Token of friendship: a Christmas and New Year's gift for 1850","","","","","","","1850","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","The garland ; or, Token of friendship","","","","","Phillips, Sampson","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .G27 1850","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLH9D42X","book","1836","","The Magnolia for 1837.","","","","","","","1836","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Bancroft & Holley","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .M3 1837","","","","","","1837; Gift books; Gilt edges (Binding); Herbert, Henry William, 1807-1858; Herbert, Henry William, 1807-1858 editor; Intaglio prints; Labels (Provenance); Leather bindings (Binding)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAY7RAJ6","book","1851","","The Cinderella frock: and other tales.","","","","","","","1851","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","The Cinderella frock","","","","","D. Bugbee","Bangor","eng","","","","","onesearch.wesleyan.edu","BJ1651 .C55 1851","","","","","","Conduct of life; Early works; Early works to 1900; Fiction; Girls; Juvenile fiction; Juvenile works; School children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDTESTM3","book","1851","Pelton, Oliver; Percival, Emily; Pelton, Oliver","The Garland: or, Token of friendship : a Christmas and New Year's gift for 1851","","","","","","","1851","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","The Garland","","","","","Phillips, Sampson and Co.","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .G27 1851","ISSN: 2258-8507","","","","","Gift books","","","","Pelton, Oliver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEQN8MJR","book","1869","","The Gift of affection: a Christmas and New-Year's present.","","","","","","","1869","2024-10-29 15:22:36","2024-10-29 15:22:36","","","324","","","","","The Gift of affection","","","","","G.A. Leavitt","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .G52 1869","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL5DSN74","book","1858","Downey, William Scott","Proverbs","","","","","","","1858","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","E. Walker","New York","eng","","","","","onesearch.wesleyan.edu","BV4501 .D63 1858","","","","","","Proverbs","","","","","","","","","","","","","","","","","","","","11th ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMH69REZ","book","1894","Smollett, T.","The adventures of Roderick Random","","","","","","","1894","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","J. Rivington","London","eng","","","","","onesearch.wesleyan.edu","PR3694 .R6 1824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEULXD8E","book","1840","Gallaudet, T. H.; Hooker, Horace","The practical spelling-book, with reading lessons.","","","","","","","1840","2024-10-29 15:22:36","2024-10-29 15:22:36","","","","","","","","","","","","","Belknap & Hamersley","Hartford","eng","","","","","onesearch.wesleyan.edu","PE1144 .G35 1840","ISSN: 2055-5083","","","","","English language; Orthography and spelling","","","","Hooker, Horace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
