Work_ID,Date,Date_Uncertainty_Level,Publication_Title,Notes,Source,Type,Location,Links,lat,lon,Coordinates
The Raven,1845-03-15,exact, Carolina Watchman," (Salisbury, NC), vol. I (new series), no. 46, p. 4, across cols. 1-2 (complete reprint from the American Review, including the introductory note, as by Quarles)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Salisbury, NC",,35.6709727,-80.4742261,"35.6709727, -80.4742261"
The Raven,1845-03-20,exact, Rutland Herald ,"(Rutland, VT) (front page, acknowledged as reprinted from the American Review)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Rutland, VT",https://chroniclingamerica.loc.gov/lccn/sn84022355/1845-03-20/ed-1/seq-1/,43.6084792,-72.9724768,"43.6084792, -72.9724768"
The Raven,1845-03-21,exact, London Journal ,"(not in H&C. First cited by Tanselle, 1963)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,London,,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1845-04-09,exact, The Cadiz Sentinel," (Cadiz, OH), vol. XII, no. 2, p. 1, cols. 3-4 (apparently reprinted from the American Review, or another reprint of that text. Poe's name is given as the author)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Cadiz, OH",https://chroniclingamerica.loc.gov/lccn/sn84028793/1845-04-09/ed-1/seq-1/,40.2728452,-80.9967628,"40.2728452, -80.9967628"
The Raven,1845-04-19,exact," A Plain System of Elocution, by G. Vandenhoff","Â  (second edition, New York) (Although this was an unauthorized reprint, it is the first appearance of the poem in a book. Later editions do not include the poem. It may have been removed by legal pressure.)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-05-08,exact, Indiana State Sentinel,", Indianapolis, IN (reprinted from the NY Mirror)",https://www.eapoe.org/works/info/pp073.htm,Newspaper," Indianapolis, IN",,39.7683331,-86.1583502,"39.7683331, -86.1583502"
The Raven,1845-06-06,exact, Massachusetts Temperance Standard,"Â  (not in H&C. Noted for sale by a dealer on Nov. 8, 2000.)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Worcester, MA",,42.2625621,-71.8018877,"42.2625621, -71.8018877"
The Raven,1845-06-14,exact, Critic  , This is essentially a reprint of Text-08Â  (Mabbott textÂ H),https://www.eapoe.org/works/info/pp073.htm,Magazine,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1845-06-28,exact, Birmingham Journal ,"(Birmingham, UK) (noted by Kevin Hayes, 2004)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Birmingham, UK",,52.4796992,-1.9026911,"52.4796992, -1.9026911"
The Raven,1845-07-08,exact, Franklin Democrat," (Greenfield, MA), vol. VI, no. 12, front page (Poe's name is acknowledged, but not the source for the text)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Greenfield, MA",,35.7286572,-98.3778459,"35.7286572, -98.3778459"
The Raven,1845-07-11,exact, Cork Examiner,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Cork, Ireland",,51.897077,-8.4654674,"51.897077, -8.4654674"
The Raven,1845-07-26,exact, Littel's Living Age,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Boston, MA",,42.3554334,-71.060511,"42.3554334, -71.060511"
The Raven,1845-11-19,approximate to the day,"
The Raven and Other Poems","New York: Wiley and Putnam, 161 Broadway. The volume was initially issued separately with pink paper wraps. Beginning sometime early in 1846, it was issued in hard covers, bound together with the earlier Tales . The original sale price was 31 cents for the separate volume, and $1.00 for the double volume.",https://www.eapoe.org/works/editions/raop.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-12-01,approximate to the month, Literary Emporium  ,"The subtitle of this journal is ÒA Compendium of Religious Literary and Philosophical KnowledgeÓ) (pp. 376-378, the very end of the issue. This appearance is usually found as a bound volume, with no clear indication of the various issue months and often with a title page bearing the imprint date of 1846, but H&C and Mabbott correctly identified the issue as December 1845. At least one copy in wrappers has been seen, but even then it was collected with pages that would have been issued in previous months. (Although Mabbott considers this to be an authorized reprint, it resembles the printing from the Broadway Journal rather than reflecting the recent changes made for RAOP. Had he authorized or requested the reprint, Poe would presumably have provided the most recent version, with a number of notable changes, rather than an earlier, inferior text. Because there is no clear designation of monthly issues in the volume, the presumed date of December 1845 is based on the reprint appearing at the end of the volume for 1845, although it appears that the remaining 5 issues were actually sent out in August 1845. The pages, including ÒThe Raven,Ó were reissued with a new title page in 1846, still as The Literary Emporium, but now in book form, and again in book form about 1848 as The Pearl Offering. The later issue carries the imprint of H. S. Samuels &. Co.",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1846-02-28,exact,The Athenaeum,,https://www.jstor.org/stable/10.2307/48599389,Magazine,"London, UK",https://www.jstor.org/stable/48599389,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1846-03-13,exact, Star and Republican Banner ,"(Gettysburg, PA), vol. XVI, no. 52, p. 1, cols. 1-2 (acknowledged as fron American Review, but with Poe's name as author)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Gettysburg, PA",,39.8308973,-77.231012,"39.8308973, -77.231012"
The Raven,1846-04-01,approximate to the month,Graham's Magazine,"Poe's essay ""The Philosophy of Composition"" vol. XXVIII, no. 4, April 1846, 28:163-167 quotes several stanzas",https://www.eapoe.org/works/info/pp073.htm,Magazine,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1846-05-01,exact," World of Fashion: Monthly Magazine of the Courts of London and Paris, Fashions and Literature, Music, Fine Arts, the Opera and Theatres ","(London) (This reprint was first noted by Douglas Lind, of Southern Illinois University, â""An Early Unrecorded London Variant of â€˜The Ravenâ€™,"" Poe Studies, 2010, 80-85.)",https://www.eapoe.org/works/info/pp073.htm,Magazine,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1846-07-25,exact, Saturday Courier,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1846-09-02,exact, North-Carolina Standard ,"(Raleigh, NC), vol. XII, whole no. 617 , p. 1, cols. 1-2",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Raleigh, NC",https://chroniclingamerica.loc.gov/lccn/sn85042147/1846-09-02/ed-1/seq-1/,35.7803977,-78.6390989,"35.7803977, -78.6390989"
The Raven,1846-12-01,approximate to the month, Ladies Wreath and Literary Gatherer,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Boston, MA",,42.3554334,-71.060511,"42.3554334, -71.060511"
The Raven,1847-05-29,exact,Poets and Poetry of America (8th edition),Eight editionPhiladelphia: Carey & Hart,https://www.eapoe.org/works/info/pp073.htm,Book,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1848-01-01,approximate to the month,Southern Literary Messenger ,"(numerous lines quoted in an article by P. P. Cooke, originally requested by Poe for his book on Literary America, which was not completed) â€” (Mabbott text Q) ",https://www.eapoe.org/works/info/pp073.htm,Magazine,"Richmond, VA",,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1848-01-01,approximate to the year, Literary Annual ,"(This item is listed by H&C, p. 116. The subtitle of this journal is â""A Compendium of Religious Literary and Philosophical Knowledge."" It may be a reprint of the Literary Emporium of 1845 noted above.)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1848-11-01,exact, Dollar Newspaper,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1848-11-01,approximate to the month, Hartford Weekly Gazette," (This paper was edited by Rufus White Griswold, not to be confused with Rufus Wilmot Griswold, the person who edited Poe's works in 1850 and wrote the malicious memoir of Poe. Poe mentions the reprint of the poem in a November 26, 1848 letter to Sarah Helen Whitman.)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Hartford, CT", ,41.764582,-72.6908547,"41.764582, -72.6908547"
The Raven,1849-05-26,exact, The Polynesian,"Honolulu, HI, p. 4, top of col. 1 (reprinted from the American Review, including the introductory note)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Honolulu, HI",https://chroniclingamerica.loc.gov/lccn/sn82015408/1849-05-26/ed-1/seq-4/,21.304547,-157.855676,"21.304547, -157.855676"
The Raven,1849-06-01,approximate to the month, Lawrence Messenger," (MA) (noted by Ljungquist. No copies of this item have been located, but the reprint is noted in the Lawrence Courier for June 16, 1849.)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Lawrence, MA",,42.7070354,-71.1631137,"42.7070354, -71.1631137"
The Raven,1849-09-12,exact, Oquawka Spectator," (Printed with the introductory note: â""We publish on our first page, this week, one of the most remarkable poems ever written. Mr. Poe has long held the rank of one of our very best poets, and The Raven is in his best style. We bespeak for it a careful perusal. There will be found running through it, clothed in a robe of euphonious rhymes and remarkably appropriate language, an Idea well worthy of the pen of its author   the never-dying existence of the memory."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Oquawka, Ill.",,40.931982,-90.9470863,"40.931982, -90.9470863"
The Raven,1849-09-25,exact, Semi-Weekly Examiner ,(This revised reprint is generally accepted as the final authorized version of the text. It begins with an introductory note by John M. Daniel. The text was evidently set from Text-10a.],https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Richmond, VA",,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1849-10-01,exact,Lynchburg Virginian,,Chronicling America search,Newspaper,"Lynchburg, V",https://chroniclingamerica.loc.gov/lccn/sn85055199/1849-11-28/ed-1/seq-1/,35.28314,-86.37416,"35.28314, -86.37416"
The Raven,1849-10-09,exact, Evening Patriot," (Baltimore, MD) (part of an obituary to Poe)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Baltimore, MD",,39.2908816,-76.610759,"39.2908816, -76.610759"
The Raven,1849-10-09,exact, Daily Advertiser ,"(Newark, NJ)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Newark, NJ",,40.735657,-74.1723667,"40.735657, -74.1723667"
The Raven,1849-10-12,exact, Gazette," (Alexandria, VA), vol. 50, no. 242, p. 1, cols. 6-7 (The text is reprinted without acknowledgement from the Richmond Semi-Weekly Examiner. It begins with the note: â""â€‰â€˜The Raven,â€™ on its first publication about five years ago, excited a deep interest, and was copied far and near, at home and abroad. It is a rare effort of the peculiar genius of the writer, and is one of the most remarkable and metrical poems ever written."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Alexandria, VA",https://chroniclingamerica.loc.gov/lccn/sn85025007/1849-10-12/ed-1/seq-1/,38.8051095,-77.0470229,"38.8051095, -77.0470229"
The Raven,1849-10-12,exact, Enquirer ,"(Richmond, VA)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Richmond, VA",,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1849-10-12,exact, Richmond Whig and Public Examiner," (Richmond, VA) (reprinting the obituary from the Evening Patriot)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Richmond, VA",,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1849-10-15,exact, Daily Republican," (Richmond, VA)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Richmond, VA",,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1849-10-17,exact, Scioto Journal," (Chillicothe, OH)Â  (reprinted from some unspecified Eastern paper)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Chillicothe, OH",,39.3331197,-82.9824019,"39.3331197, -82.9824019"
The Raven,1849-10-17,exact, Louisville Daily Journal ,"(Louisville, KY)Â  (only a few stanzas)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Louisville, KY",,38.2542376,-85.759407,"38.2542376, -85.759407"
The Raven,1849-10-20,exact,The Cecil Whig,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Elkton, Md",https://chroniclingamerica.loc.gov/lccn/sn83016348/1849-10-20/ed-1/seq-1/,39.6065073,-75.8330934,"39.6065073, -75.8330934"
The Raven,1849-10-21,exact, Mobile Daily Advertiser," (Mobile, AL)",Chronicling America search,Newspaper,"Mobile, AL",,30.6913462,-88.0437509,"30.6913462, -88.0437509"
The Raven,1849-10-23,exact, Daily Chronicle and Sentinel,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Augusta, GA",,33.4709714,-81.9748429,"33.4709714, -81.9748429"
The Raven,1849-10-24,exact, Pennsylvania Telegraph,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Harrisburg, PA",,40.2663107,-76.8861122,"40.2663107, -76.8861122"
The Raven,1849-11-02,exact, True Whig,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Mount Vernon, OH",,40.3933956,-82.4857181,"40.3933956, -82.4857181"
The Raven,1849-11-03,exact, M'Makin's Model American Courier (formerly called the Saturday Courier)  ," (formerly called the Saturday Courier)   (Mabbott textÂ U) (Short introductory notice titled â""Poe's Great Poem,"" followed by â""The Raven, by the Late Edgar Allan Poe."")Â  (This is a reprint of version â""N"".)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1849-11-04,exact, Literary American ,(only 3 stanzas),https://www.eapoe.org/works/info/pp073.htm,Newspaper,New York,,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1849-11-14,exact, Corning Journal,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Corning, NY",,42.1435257,-77.0543408,"42.1435257, -77.0543408"
The Raven,1849-11-17,exact, Lincoln Courier ,"Lincolnton, NC), vol. V, no. 34, p. 1, col. 1 (The headling is â""Poe's Raven."" A brief introductory notes says: â""We comply with the general wish, and give place this week to â€˜The Raven,â€™ a poem in which Edgar A. Poe, recently deceased, displayed that peculiar imaginative style, so characteristic of all his writings. It has not appeared very recently in any publication; but the copy from which this is taken was corrected by Poe himself."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Lincolnton, NC",,35.473745,-81.2545251,"35.473745, -81.2545251"
The Raven,1849-11-20,exact,The Daily Crescent,,Chronicling America search,Newspaper,"New Orleans, LA",https://chroniclingamerica.loc.gov/lccn/sn82015378/1849-11-20/ed-1/seq-1/,29.9759983,-90.0782127,"29.9759983, -90.0782127"
The Raven,1849-11-20,exact, New Orleans Crescent ,"(New Orleans, LA), vol. II, no. 223, p. 1, col. 6 (The headling is â""Poe's Raven."" A brief introductory notes says: â""The death of E. A. Poe has called forth numerous references to his various publications. Among them, the singluar poem of â€˜Rhe Ravenâ€™ is often mentioned; and as many of our readers may not have seen it, we republish it below. It is a remarkable piece of composition  not so much for any merit of conception as for the rythm and cadence."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New Orleans, LA",,29.9759983,-90.0782127,"29.9759983, -90.0782127"
The Raven,1849-11-22,exact, Vincennes Gazette,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Vincennes, IN",,38.675223,-87.51957802,"38.675223, -87.5195780167988"
The Raven,1849-11-28,exact," Lewisburg Chronicle, and the West Branch Farmer","vol. VI, no. 35, p. 1, col. 1)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Lewisburg, PA",https://chroniclingamerica.loc.gov/lccn/sn85055199/1849-11-28/ed-1/seq-1/,40.9645337,-76.8847639,"40.9645337, -76.8847639"
The Raven,1849-11-01,approximate to the month, Southern Baptist ,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Charleston, SC",,32.7884363,-79.9399309,"32.7884363, -79.9399309"
The Raven,1849-12-09,exact, Weekly Register,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Mobile, AL",,30.6913462,-88.0437509,"30.6913462, -88.0437509"
The Raven,1849-12-11,exact,Arkansas Banner,,Chronicling America search,Newspaper,"Little Rock, AR",https://chroniclingamerica.loc.gov/lccn/sn82007022/1849-12-11/ed-1/seq-1/,34.7465071,-92.2896267,"34.7465071, -92.2896267"
The Raven,1849-12-15,exact, Boston Weekly Museum and Literary Portfolio,"vol. 2, no. 27, p. 3, col. 1",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Boston, MA",,42.3554334,-71.060511,"42.3554334, -71.060511"
The Raven,1850-01-23,exact,Richmond Palladium,,Chronicling America search,Newspaper,"Richmond, IN",https://chroniclingamerica.loc.gov/lccn/sn86058217/1850-01-23/ed-1/seq-1/,39.8286897,-84.8898521,"39.8286897, -84.8898521"
The Raven,1850-01-01,approximate to the year, WORKS  ," Griswold prints the poem from RAOP, with most of Poe's corrections from RAOP-JLG (Mabbott textÂ W)Â  (Griswold's typesetter retains some punctuation, ignoring Poe's changes, and adds two new errors)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1850-01-01,approximate to the year,"The Living Writers of America, by  Thomas Powell",", New York: Stringer and Townsend, 1850, pp. 128-131, omitting several stanzas)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1850-04-18,exact, Pennsylvanian Freeman ,"(p. 4) (this item is noted by George Monteiro, â""Fugitive Reprints,"" E. A. Poe Review, Fall 2010, p. 162.)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1850-11-12,exact, Pittsburgh Daily Post,"vol. XII, whole no. 617 , p. 2, col. 4 (acknowledged as â""written by the late Edgar A. Poe""",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Pittsburgh, PA",,40.4416941,-79.9900861,"40.4416941, -79.9900861"
The Raven,1851-12-01,exact, Glasgow Herald ,"whole no. 5096, p. 6, col. 1 (printed as part of an article on December)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Glasgow, Scotland",,55.861155,-4.2501687,"55.861155, -4.2501687"
The Raven,1851-01-01,approximate to the year, Parker's Fourth Reader ,(The poem is lesson CLXXIV),https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1852-07-15,exact, Megis County Telegraph ,"vol. IV, no. 27, p. 1, cols. 1-2 (acknowledged as â""By the Late Edgar Allan Poe."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Pomeroy, OH",https://chroniclingamerica.loc.gov/lccn/sn85038183/1852-07-15/ed-1/seq-1/,39.0280514,-82.0342217,"39.0280514, -82.0342217"
The Raven,1852-01-01,approximate to the year," The String of Diamonds, Gathered from Many Mines, by ""A Gem Fancier"""," (copyright is 1851. It also includes â""The Bells,"" and many poems by other poets.)",https://www.eapoe.org/works/info/pp073.htm,Book,"Hartford, CT",,41.764582,-72.6908547,"41.764582, -72.6908547"
The Raven,1852-01-01,approximate to the year, Tales and Sketches: to which is added The Raven: A Poem,", London, George Routledge & Co., pp. 265-258",https://www.eapoe.org/works/info/pp073.htm,Book,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1852-01-01,approximate to the year," Tales of Mystery and Imagination and Humour; and Poems, ","London: Henry Vizetelly (An undated edition appears about the same time, published by Charles H. Clark and Samuel Orchart Beeton, and their name appears as publisher for the second series), first series pp. 232-237. (with a woodcut illustration)",https://www.eapoe.org/works/info/pp073.htm,Book,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653"
The Raven,1852-06-19,exact,The Illustratd London News Supplement,"Reprinted on the occasion of a piece about the new painting, ""The Lost Lenore"" by E. H. Wehnert, on view at the Exhibition of the New Society of Painters",https://exhibits.library.jhu.edu/exhibits/show/enigmatic-edgar/master-of-variety/the-raven,Newspaper,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653"
